donor_id	group	dataset	tissue	M1	M2	M3	M4	ssc_tier1
Control	HC	gse195452	skin_gur	0.1927	0.2226	0.0459	-0.0573	-0.18
Ctrl001	HC	gse195452	skin_gur	0.2213	-0.0026	-0.3722	-0.2666	0.0572
Ctrl002	HC	gse195452	skin_gur	0.1901	0.0151	-0.4071	-0.1549	0.0328
Ctrl003	HC	gse195452	skin_gur	0.2353	0.0403	-0.289	-0.3231	0.0134
Ctrl004	HC	gse195452	skin_gur	0.2058	-0.0637	-0.4292	-0.2083	0.0856
Ctrl005	HC	gse195452	skin_gur	0.1935	-0.0464	-0.4222	-0.1026	0.0533
Ctrl006	HC	gse195452	skin_gur	0.3085	0.0006	-0.4448	-0.1235	-0.0065
Ctrl007	HC	gse195452	skin_gur	0.1692	0.0243	-0.401	-0.1905	0.0535
Ctrl008	HC	gse195452	skin_gur	0.1954	0.0122	-0.3567	-0.2259	0.0418
Ctrl009	HC	gse195452	skin_gur	0.2028	0.0134	-0.3485	-0.2412	0.0407
Ctrl010	HC	gse195452	skin_gur	0.2249	0.039	-0.4065	-0.4052	0.0681
Ctrl011	HC	gse195452	skin_gur	0.3352	0.1509	-0.2864	-0.3057	-0.0773
Ctrl012	HC	gse195452	skin_gur	0.2527	-0.0504	-0.4565	-0.2021	0.0611
Ctrl013	HC	gse195452	skin_gur	0.3167	0.0177	-0.5316	-0.4004	0.0688
Ctrl014	HC	gse195452	skin_gur	0.207	0.0692	-0.2903	-0.1756	-0.0155
Ctrl017	HC	gse195452	skin_gur	0.2332	0.035	-0.3969	-0.2696	0.0345
Ctrl018	HC	gse195452	skin_gur	0.1878	0.183	-0.3636	-0.4632	0.0259
Ctrl019	HC	gse195452	skin_gur	0.2909	0.046	-0.3812	-0.3305	0.012
Ctrl020	HC	gse195452	skin_gur	0.2182	0.0304	-0.3788	-0.3437	0.054
Ctrl021	HC	gse195452	skin_gur	0.2873	0.0166	-0.36	-0.2632	0.0055
Ctrl022	HC	gse195452	skin_gur	0.2499	0.0578	-0.4526	-0.2666	0.036
Ctrl023	HC	gse195452	skin_gur	0.2951	0.0637	-0.3574	-0.3985	0.0118
Ctrl024	HC	gse195452	skin_gur	0.1692	0.062	-0.3147	-0.2899	0.0328
Ctrl025	HC	gse195452	skin_gur	0.1698	0.067	-0.3009	-0.2995	0.0282
Ctrl026	HC	gse195452	skin_gur	0.1398	0.0543	-0.278	-0.2957	0.0399
Ctrl027	HC	gse195452	skin_gur	0.2365	0.0581	-0.2882	-0.3716	0.0144
